project,event,sample,fish,total,weight,floy,tag_applied,tag_recapture,species
LEM_IS17_RBC,0,102,1,622,3000,10340,1,0,carp
LEM_IS17_RBC,0,102,2,505,1500,10333,1,0,carp
LEM_IS17_RBC,0,102,3,396,500,10208,1,0,carp
LEM_IS17_RBC,0,102,4,648,3000,10292,1,0,carp
LEM_IS17_RBC,0,102,5,680,3500,10226,1,0,carp
LEM_IS17_RBC,0,102,6,527,2000,10265,1,0,hybrid
LEM_IS17_RBC,0,102,7,609,2500,10240,1,0,carp
LEM_IS17_RBC,0,102,8,575,2500,10277,1,0,carp
LEM_IS17_RBC,0,102,9,462,500,10293,1,0,carp
LEM_IS17_RBC,0,103,10,470,1000,10201,1,0,carp
LEM_IS17_RBC,0,103,11,398,1000,10213,1,0,carp
LEM_IS17_RBC,0,103,12,439,1500,10205,1,0,hybrid
LEM_IS17_RBC,0,103,13,607,3000,10221,1,0,carp
LEM_IS17_RBC,0,103,14,526,2000,10206,1,0,carp
LEM_IS17_RBC,0,103,15,519,1750,10222,1,0,carp
LEM_IS17_RBC,0,103,16,555,2000,10203,1,0,carp
LEM_IS17_RBC,0,103,17,535,2000,10242,1,0,carp
LEM_IS17_RBC,0,103,18,454,1500,10218,1,0,carp
LEM_IS17_RBC,0,103,19,522,1750,10210,1,0,carp
LEM_IS17_RBC,0,103,20,501,1750,10264,1,0,carp
LEM_IS17_RBC,1,3,21,423,1250,,0,0,carp
LEM_IS17_RBC,1,3,22,445,1400,,0,0,carp
LEM_IS17_RBC,1,4,23,634,3600,,0,0,carp
LEM_IS17_RBC,1,4,24,683,4200,,0,0,carp
LEM_IS17_RBC,1,4,25,577,2250,,0,0,carp
LEM_IS17_RBC,1,4,26,631,3000,,0,0,carp
LEM_IS17_RBC,1,4,27,470,1800,,0,0,carp
LEM_IS17_RBC,1,4,28,613,3400,,0,0,carp
LEM_IS17_RBC,1,4,29,658,3700,,0,0,carp
LEM_IS17_RBC,1,4,30,519,2000,,0,0,carp
LEM_IS17_RBC,1,4,31,713,4500,,0,0,carp
LEM_IS17_RBC,1,4,32,659,3600,,0,0,carp
LEM_IS17_RBC,1,4,33,560,2100,,0,0,carp
LEM_IS17_RBC,1,4,34,504,1800,,0,0,carp
LEM_IS17_RBC,1,4,35,513,1800,,0,0,carp
LEM_IS17_RBC,1,4,36,625,3000,,0,0,carp
LEM_IS17_RBC,1,4,37,674,4500,,0,0,carp
LEM_IS17_RBC,1,4,38,642,3900,,0,0,carp
LEM_IS17_RBC,1,4,39,587,2750,,0,0,carp
LEM_IS17_RBC,1,4,40,552,2400,,0,0,carp
LEM_IS17_RBC,1,4,41,552,2250,,0,0,carp
LEM_IS17_RBC,1,4,42,644,3500,,0,0,carp
LEM_IS17_RBC,1,4,43,630,3500,,0,0,carp
LEM_IS17_RBC,1,4,44,653,3700,,0,0,carp
LEM_IS17_RBC,1,5,45,360,750,,0,0,carp
LEM_IS17_RBC,1,6,46,485,1400,,0,0,carp
LEM_IS17_RBC,1,6,47,698,4750,,0,0,carp
LEM_IS17_RBC,1,6,48,327,750,,0,0,carp
LEM_IS17_RBC,1,6,49,303,600,,0,0,carp
LEM_IS17_RBC,1,9,50,607,2500,10221,0,1,carp
LEM_IS17_RBC,1,9,51,538,1800,,0,0,carp
LEM_IS17_RBC,1,9,52,624,3000,,0,0,carp
LEM_IS17_RBC,1,9,53,517,1750,,0,0,hybrid
LEM_IS17_RBC,1,9,54,583,2750,,0,0,carp
LEM_IS17_RBC,1,9,55,553,2500,,0,0,carp
LEM_IS17_RBC,1,9,56,549,2500,,0,0,carp
LEM_IS17_RBC,1,9,57,574,2750,,0,0,hybrid
LEM_IS17_RBC,1,9,58,442,1500,,0,0,carp
LEM_IS17_RBC,1,9,59,269,600,,0,0,carp
LEM_IS17_RBC,1,9,60,535,2400,,0,0,carp
LEM_IS17_RBC,1,10,61,256,250,,0,0,carp
LEM_IS17_RBC,1,12,62,507,1500,,0,0,hybrid
LEM_IS17_RBC,1,12,63,617,1600,,0,0,carp
LEM_IS17_RBC,1,12,64,611,2500,,0,0,carp
LEM_IS17_RBC,1,12,65,530,2000,,0,0,hybrid
LEM_IS17_RBC,1,12,66,581,2500,,0,0,carp
