project,event,sample,date,start_latitude,start_longitude,end_latitude,end_longitude,hz,percent_power,voltage,amps,effort_sec,release_latitude,release_longitude,comments
LEM_IS17_RBC,0,101,27/06/2017,42.30778,-81.90415,42.31037,-81.89886,60,80,500,10,2000,42.32236,-81.87993,"went over transect twice - start to end, end to start"
LEM_IS17_RBC,0,102,27/06/2017,42.315,-81.89057,42.32003,-81.881616,60,100,500,10,2100,42.32236,-81.87993,"followed land from waypoint 62 (ebaot GPS); 5 fish captured at 42.32003, -81.88447"
LEM_IS17_RBC,0,103,27/06/2017,42.323114,-81.877668,42.321626,-81.880368,60,100,500,10,2000,42.32236,-81.87993,performed mutiple transects back and forth through bay; electrofished through thick lily pads
LEM_IS17_RBC,1,1,24/07/2017,42.29745,-81.91626,42.29947,-81.91361,60,30,500,5,450,,,
LEM_IS17_RBC,1,2,24/07/2017,42.30053,-81.91466,42.30084,-81.91528,60,60,500,12,137,,,
LEM_IS17_RBC,1,3,24/07/2017,42.30268,-81.90871,42.30344,-81.90931,60,60,500,11,207,,,2 goldfish
LEM_IS17_RBC,1,4,24/07/2017,42.30469,-81.90401,42.30595,-81.90626,60,60,500,11,1540,,,Up and down canal - not straight transect
LEM_IS17_RBC,1,5,24/07/2017,42.30548,-81.90409,42.30754,-81.90609,60,60,500,11,844,,,Down canal ~ 150 m
LEM_IS17_RBC,1,6,24/07/2017,42.30762,-81.90267,42.31169,-81.90058,60,100,500,10.5,1118,,,Spotted gar seen but not captured
LEM_IS17_RBC,1,7,24/07/2017,42.31471,-81.89338,42.3156,-81.8891,60,100,500,11,642,,,
LEM_IS17_RBC,1,8,24/07/2017,42.31888,-81.88701,42.32008,-81.88789,60,70,500,12,331,,,
LEM_IS17_RBC,1,9,24/07/2017,42.31966,-81.88146,42.32094,-81.88246,60,90,500,11,1008,,,
LEM_IS17_RBC,1,10,24/07/2017,42.32172,-81.88021,42.32318,-81.87658,60,90,500,11.5,1248,,,
LEM_IS17_RBC,1,11,24/07/2017,42.32457,-81.87316,42.33112,-81.86625,60,100,500,11,1022,,,
LEM_IS17_RBC,1,12,24/07/2017,42.33286,-81.85302,42.33593,-81.84776,60,65,500,10.5,2886,,,
LEM_IS17_RBC,1,13,25/07/2017,42.29437,-81.92292,42.29257,-81.92864,60,80,500,12.5,675,,,
LEM_IS17_RBC,1,14,25/07/2017,42.29257,-81.92864,42.29257,-81.92864,60,80,500,12.5,769,,,Up and down canal - same start and end point
LEM_IS17_RBC,1,15,25/07/2017,42.28789,-81.92965,42.29101,-81.93707,60,65,500,11,3387,,,Electrofishing boat settings fluctuated
LEM_IS17_RBC,1,16,25/07/2017,42.28373,-81.93262,42.28068,-81.93157,60,100,500,8.5,1124,,,
LEM_IS17_RBC,1,17,25/07/2017,42.27545,-81.93591,42.27744,-81.93994,60,75,500,12,2695,,,
