project,event,sample,gear,species,N_catch,N_tagged,N_recaptured,Comment
LEM_IS18_RBC,0,1,EBOAT,carp,4,4,0,
LEM_IS18_RBC,0,2,EBOAT,carp,6,6,0,
LEM_IS18_RBC,0,3,EBOAT,carp,15,15,0,
LEM_IS18_RBC,0,4,EBOAT,carp,6,5,0,
LEM_IS18_RBC,0,6,EBOAT,carp,10,10,0,
LEM_IS18_RBC,0,7,EBOAT,carp,17,17,0,
LEM_IS18_RBC,0,8,EBOAT,carp,15,15,0,
LEM_IS18_RBC,0,9,EBOAT,carp,5,5,0,
LEM_IS18_RBC,0,11,EBOAT,carp,6,6,0,
LEM_IS18_RBC,1,14,EBOAT,carp,28,27,0,
LEM_IS18_RBC,1,15,EBOAT,carp,35,34,0,
LEM_IS18_RBC,1,16,EBOAT,carp,14,13,1,
LEM_IS18_RBC,1,17,EBOAT,carp,3,3,0,
LEM_IS18_RBC,1,18,EBOAT,carp,18,12,2,Fish not considered recaptures as they were released previous day
LEM_IS18_RBC,1,19,EBOAT,carp,2,2,0,
LEM_IS18_RBC,1,20,EBOAT,carp,2,2,0,
LEM_IS18_RBC,1,21,EBOAT,carp,7,7,0,
LEM_IS18_RBC,1,22,EBOAT,carp,8,0,0,
LEM_IS18_RBC,1,23,EBOAT,carp,1,0,0,
LEM_IS18_RBC,1,24,EBOAT,carp,37,35,0,
LEM_IS18_RBC,2,25,EBOAT,carp,38,0,0,
LEM_IS18_RBC,2,26,EBOAT,carp,2,0,0,
LEM_IS18_RBC,2,27,EBOAT,carp,13,0,0,
LEM_IS18_RBC,2,28,EBOAT,carp,5,0,0,
LEM_IS18_RBC,2,29,EBOAT,carp,2,0,0,
LEM_IS18_RBC,2,32,EBOAT,carp,9,9,0,
LEM_IS18_RBC,2,35,EBOAT,carp,8,0,0,
LEM_IS18_RBC,2,36,EBOAT,carp,4,0,0,
LEM_IS18_RBC,2,37,EBOAT,carp,1,0,0,
LEM_IS18_RBC,2,40,EBOAT,carp,2,0,0,
LEM_IS18_RBC,3,41,EBOAT,carp,19,0,0,
LEM_IS18_RBC,3,42,EBOAT,carp,8,0,0,
LEM_IS18_RBC,3,43,EBOAT,carp,30,0,0,
LEM_IS18_RBC,3,44,EBOAT,carp,1,0,0,
LEM_IS18_RBC,0,5,EBOAT,goldfish,1,1,0,
LEM_IS18_RBC,0,10,EBOAT,goldfish,2,2,0,
LEM_IS18_RBC,0,13,EBOAT,goldfish,1,1,0,
LEM_IS18_RBC,1,14,EBOAT,goldfish,1,1,0,
LEM_IS18_RBC,1,18,EBOAT,goldfish,1,1,0,
LEM_IS18_RBC,1,20,EBOAT,goldfish,2,2,0,
LEM_IS18_RBC,3,41,TRAMMEL,carp,2,0,0,
LEM_IS18_RBC,1,20,EBOAT,hybrid,1,1,0,
LEM_IS18_RBC,1,21,EBOAT,hybrid,2,2,0,
LEM_IS18_RBC,1,24,EBOAT,hybrid,1,1,0,
